test_set,blur_size,noise_level,accuracy,f1,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confusion,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour
1,0,0,0.607,0.5685150911771045,0.6368542791056284,0.4175824175824176,0.5146406388642414,0.7178217821782178,0.826,0.152,0.58,0.87,0.7191989551589029,0.22287390029325513,0.5453690644099671,0.786618444846293,"[[826, 28, 106, 40], [236, 152, 406, 206], [207, 117, 580, 96], [28, 67, 35, 870]]",0.7345369,0.7545958,0.6192333,0.7174507,0.7635881,0.17143495,0.16785038,0.17192039,0.17272316,1297,364,1127,1212
1,1,0,0.607,0.5685150911771045,0.6368542791056284,0.4175824175824176,0.5146406388642414,0.7178217821782178,0.826,0.152,0.58,0.87,0.7191989551589029,0.22287390029325513,0.5453690644099671,0.786618444846293,"[[826, 28, 106, 40], [236, 152, 406, 206], [207, 117, 580, 96], [28, 67, 35, 870]]",0.7345369,0.7545958,0.6192333,0.7174507,0.7635881,0.17143495,0.16785038,0.17192039,0.17272316,1297,364,1127,1212
1,3,0,0.4975,0.43193045504945204,0.38324772817068353,0.36231884057971014,0.7020648967551623,0.7379032258064516,0.97,0.05,0.238,0.732,0.5494194279241008,0.08787346221441125,0.3554891710231516,0.7349397590361446,"[[970, 4, 5, 21], [687, 50, 94, 169], [633, 59, 238, 70], [241, 25, 2, 732]]",0.72505903,0.76235616,0.55043924,0.5818366,0.7031344,0.17581598,0.14265124,0.12624851,0.16305552,2531,138,339,992
1,5,0,0.3825,0.29535007760713505,0.3027803238619004,0.35555555555555557,0.6626506024096386,0.7813021702838063,0.991,0.016,0.055,0.468,0.46384273344254623,0.03062200956937799,0.10156971375807941,0.5853658536585366,"[[991, 1, 1, 7], [873, 16, 26, 85], [888, 18, 55, 39], [521, 10, 1, 468]]",0.7718512,0.79877144,0.5630155,0.5652836,0.66906786,0.15871696,0.124377914,0.10946011,0.14299071,3273,45,83,599
1,7,0,0.3055,0.19679474180027368,0.2717361678931589,0.2727272727272727,0.6571428571428571,0.6982456140350877,0.997,0.003,0.023,0.199,0.42707217819661597,0.005934718100890208,0.044444444444444446,0.309727626459144,"[[997, 1, 0, 2], [937, 3, 12, 48], [937, 4, 23, 36], [798, 3, 0, 199]]",0.8211265,0.83885825,0.5788652,0.56705576,0.6334052,0.13672447,0.14801623,0.101064615,0.1327431,3669,11,35,285
1,9,0,0.286,0.16718458182245882,0.26465128613099975,0.42857142857142855,0.5666666666666667,0.65625,0.998,0.003,0.017,0.126,0.418360930622511,0.005958291956305859,0.03300970873786408,0.21140939597315436,"[[998, 1, 0, 1], [953, 3, 13, 31], [946, 3, 17, 34], [874, 0, 0, 126]]",0.83728737,0.8506528,0.592023,0.5425583,0.6297751,0.1318169,0.08334471,0.109561615,0.12550138,3771,7,30,192
1,19,0,0.2585,0.11956487283492928,0.25486680327868855,0.0,0.5555555555555556,0.39080459770114945,0.995,0.0,0.005,0.034,0.4057911908646003,0.0,0.009910802775024777,0.062557497700092,"[[995, 0, 0, 5], [984, 0, 4, 12], [959, 0, 5, 36], [966, 0, 0, 34]]",0.83088964,0.8377451,nan,0.5184449,0.555588,0.11463502,nan,0.081997566,0.07076924,3904,0,9,87
1,0,1,0.3135,0.2020588185746414,0.4105392156862745,0.0,0.28863065326633164,0.0,0.335,0.0,0.919,0.0,0.368942731277533,0.0,0.4392925430210325,0.0,"[[335, 0, 665, 0], [135, 0, 865, 0], [81, 0, 919, 0], [265, 0, 735, 0]]",0.64976156,0.582905,nan,0.6668956,nan,0.07253773,nan,0.10220282,nan,816,0,3184,0
1,1,1,0.3085,0.19838704712654293,0.3949579831932773,0.0,0.2859399684044234,0.0,0.329,0.0,0.905,0.0,0.358974358974359,0.0,0.4345738295318127,0.0,"[[329, 0, 671, 0], [136, 0, 864, 0], [93, 2, 905, 0], [275, 0, 725, 0]]",0.6501276,0.58035547,0.52969646,0.668567,nan,0.074121,0.037470028,0.1019706,nan,833,2,3165,0
1,3,1,0.3195,0.20764740686621178,0.4203747072599532,0.0,0.29211697393515573,0.0,0.359,0.0,0.919,0.0,0.38727076591154264,0.0,0.4433188615533044,0.0,"[[359, 0, 641, 0], [149, 0, 851, 0], [81, 0, 919, 0], [265, 0, 735, 0]]",0.64816225,0.58030677,nan,0.666582,nan,0.076450355,nan,0.10151063,nan,854,0,3146,0
